title,year,certificate,genre,rating
Booo: Sabki Phategi,2019–,18+,Comedy  Horror            ,7.4
Loha,1997,A,Action            ,5.4
Power Play,2021,UA,Thriller            ,5.2
Mehbooba,2018,UA,Action  Drama  Romance            ,6.8
Umrao Jaan,2006,,Drama  Romance            ,5.4
Thugs of Ramaghada,2023,A,Crime            ,3.7
Parineetii,2022–,,Drama  Romance            ,4.3
Hamraaz,1967,U,Musical  Mystery  Thriller            ,6.1
Sabjiwali,2022–,Not Rated,Comedy            ,7.2
Do Raaste,1969,U,Drama  Romance            ,5.1
College Kaand,2022–,,Crime            ,6.2
Highway,I 2022,UA 13+,Thriller            ,8.3
Bichhoo,2000,A,Action  Crime  Drama            ,8.1
The Deceivers,1988,,Adventure  Crime  Drama            ,4.1
Oye Jassie,2013–2014,,Family            ,7.9
Smoke,2018–2019,Not Rated,Thriller            ,7.1
Dedh Ishqiya,2014,UA,Comedy  Drama  Romance            ,6.3
Dwarkadheesh: Bhagwaan Shree Krishn,2011–2012,,History            ,7.1
Silence... Can You Hear It?,2021,UA,Crime  Thriller            ,5.1
Yellow Gangs,2022,,Crime  Drama  Thriller            ,6.6
Tamil Rockers,2021,UA,Action  Drama            ,7.1
Charitraheen,2018–,A,Thriller            ,8.5
Bachelor,2021,A,Drama            ,8.4
Sarkar,2005,UA,Action  Crime  Drama            ,6.1
Qismat,2018,U,Drama  Romance            ,8.1
NTR 30,2023,,Action  Drama            ,9.1
Hawaizaada,2015,U,Biography  Drama            ,6.4
Balwaan,1992,UA,Action  Adventure            ,4.4
Rathnan Prapancha,2021,UA 13+,Comedy  Drama  Family            ,7.7
MTV Warrior High,2015–,13,Drama            ,5.4
Right or Wrong,2019–,18,Drama            ,4.7
Suryaa: An Awakening,1989,,Action  Drama            ,8.5
Baazi,2021,U,Action  Drama  Thriller            ,5.1
Double Target,1987,,Action  Adventure  War            ,8.3
Yudh,2014–,UA 13+,Drama            ,8.7
Jaggu Ki Lalten,2022,U,Drama            ,5.6
Kudrat,1981,,Drama  Mystery  Romance            ,6.1
Torbaaz,2020,16,Action  Drama  Sport            ,7.1
Arjun,1985,A,Action  Crime  Drama            ,6.7
Haunted Hills,2020,A,Horror            ,3.6
Sankharsham,1981,,Drama            ,3.6
Jackpot,II 2019,U,Action  Comedy            ,8.2
Amma I love you,2018,U,Drama            ,5.0
Raja the Great,2017,UA,Action  Comedy            ,8.7
Qayamat Ki Raat,2018–2019,12+,Horror  Thriller            ,8.7
Aaraattu,2022,U,Action  Drama            ,9.0
Rosgulla,2019–,Not Rated,Drama            ,6.1
The Attacks of 26/11,2013,A,Action  Crime  Drama            ,5.5
1920,2008,A,Horror  Mystery  Romance            ,8.1
Mumbai Pune Mumbai 2,2015,U,Romance            ,5.9
Teesri Manzil,1966,,Comedy  Musical  Mystery            ,7.9
Happy Birthday,IV 2022,UA,Comedy            ,7.3
Kutty Story,2021,UA,Drama  Romance            ,3.2
Sapne Suhane Ladakpan Ke,2012–2015,UA,Drama            ,7.6
Anthuleni Katha,1976,U,Drama  Family            ,6.6
Chirutha,2007,UA,Action            ,8.4
Pandian Stores,2018–,PG,Family            ,8.3
Dora,2017,A,Action  Horror  Thriller            ,3.7
Dasvidaniya,2008,UA,Comedy  Drama            ,4.2
Suryavanshi,1992,,Action  Fantasy  Horror            ,4.3
Kahaani 2,2016,UA,Mystery  Thriller            ,9.8
Shivam,III 2015,UA,Action  Comedy  Romance            ,9.4
Maharaja,1998,,Action  Adventure  Comedy            ,5.7
Tapa Tap,2021,,Romance            ,5.8
Madhumati,1958,U,Fantasy  Musical  Mystery            ,6.8
Vitthal Teedi,2021–,Not Rated,Drama            ,7.4
Kshatriya,1993,,Action  Drama  War            ,6.9
Mar Gaye Oye Loko,2018,U,Comedy  Drama  Fantasy            ,4.0
Love You Rachchu,2021,UA,Romance            ,6.8
Photoshoot,2021–,,Drama            ,5.5
Lollipop,2022 Music Video,,Romance            ,1.7
Roti,1974,U,Drama  Romance  Thriller            ,5.0
Igloo,2019 TV Movie,,Drama  Romance            ,8.2
Aandhi,1975,(Banned),Drama  Romance            ,8.9
Ohm Shanthi Oshaana,2014,PG,Comedy  Romance            ,7.0
Soyrik,2022,UA,,4.8
Enna Solla Pogirai,2022,UA,Drama  Romance            ,7.0
Metro Park,2019–,Not Rated,Comedy            ,6.3
Meri Pyaari Bindu,2017,UA,Comedy  Drama  Romance            ,8.0
Nirvana Inn,2019,,Mystery            ,7.3
Jaani Dushman: Ek Anokhi Kahani,2002,A,Action  Fantasy  Horror            ,7.0
Ghayal,1990,A,Action  Crime  Drama            ,6.9
Paappan,2022,UA,Crime  Drama  Mystery            ,7.3
Forensic,2020,UA,Crime  Mystery  Thriller            ,6.4
Thadam,2019,UA,Crime  Drama  Mystery            ,5.2
Mr. & Mrs. Khiladi,1997,U,Comedy  Drama  Romance            ,8.0
Maine Pyaar Kyun Kiya,2005,,Comedy  Drama  Romance            ,5.6
Razia Sultan,1983,,Biography  Drama  History            ,5.1
Swatantra Veer Savarkar,2023,,Drama            ,7.6
Tere Bin Laden,2010,,Comedy  Drama            ,4.6
Richard Anthony,2023,,Drama            ,6.7
Nishabd,2007,UA,Drama            ,5.3
Sunday,I 2008,,Action  Comedy  Mystery            ,7.3
Potluck,2021–,UA 16+,Comedy            ,6.9
Firsts,2020–2021,,Drama            ,5.2
Dirty Politics,2015,,Drama            ,7.3
Mann Sundar,2021–,,Drama  Romance            ,5.4
Mr. & Mrs. '55,1955,U,Comedy  Musical  Romance            ,6.0
The Legend of Bhagat Singh,2002,U,Action  Biography  Drama            ,7.6
A Gentleman,2017,UA,Action  Comedy            ,8.1
Welcome Back,2015,UA,Action  Comedy  Crime            ,7.3
Cosmic Sex,2015,A,Drama            ,6.6
Karnasubarner Guptodhon,2022,U,Adventure  Mystery  Thriller            ,4.6
Naradan,2022,UA,Drama  Thriller            ,5.5
The Next Morning,2022,,Crime            ,7.4
Subho Bijoya,2022,U,Drama            ,5.9
Collar Bomb,2021,16,Action  Thriller            ,7.6
Pathala Bhairavi,1951,U,Action  Adventure  Family            ,3.7
Bed Stories,2022–,A,Comedy            ,6.4
Thellavarithe Guruvaram,2021,UA,Comedy            ,3.9
Tapana,2004,,Romance            ,6.0
Ghar Parivaar,1991,,Drama            ,6.8
Swarg,1990,U,Drama            ,7.7
Jaan-E-Mann: Let's Fall in Love... Again,2006,,Comedy  Drama  Musical            ,7.2
Lipstick Under My Burkha,2016,A,Comedy  Drama            ,1.5
Cheaters: The Vacation,2021,UA 16+,Drama            ,8.7
Sufiyum Sujatayum,2020,18,Drama  Musical  Romance            ,6.7
Kaamyaab,2018,UA,Drama            ,5.1
Quick Gun Murugun: Misadventures of an Indian Cowboy,2009,,Action  Comedy  Drama            ,7.1
Nikaah,1982,,Drama  Romance            ,9.0
Sold,I 2014,PG-13,Drama            ,7.2
Kaththi,2014,U,Action  Drama            ,8.0
Varaal,2022,UA,Thriller            ,6.3
Mahanadhi,1994,U,Crime  Drama            ,4.6
Dirty Hari,2020,A,Drama  Romance  Thriller            ,7.6
Virumandi,2004,U,Action  Drama  Thriller            ,4.3
Johny Mera Naam,1970,U,Action  Drama  Musical            ,6.8
Chhapaak,2020,UA,Biography  Drama            ,6.4
Asees,2018,U,Drama            ,4.0
Modi Ji Ki Beti,2022,U,Comedy  Drama            ,4.6
Suryavamsam,1998,U,Drama            ,5.6
Traffic,2011,U,Action  Adventure  Mystery            ,8.0
Chakravarthy,2017,A,Action  Crime            ,9.0
Fauji,1988,16,Action  Drama            ,6.7
Jarurat,2022,,Short  History            ,7.3
Poster Boys,2017,UA,Comedy            ,8.7
Rakhta Charitra 2,2010,A,Action  Biography  Crime            ,5.6
Thanga Magan,2015,U,Action  Drama  Romance            ,8.0
Shaapit: The Cursed,2010,A,Adventure  Horror  Romance            ,8.1
Mauli,2018,UA,Action            ,7.9
Panga,2020,UA,Drama  Sport            ,6.5
Bekhudi,1992,,Action  Crime  Drama            ,8.4
Deewana Mastana,1997,U,Comedy  Romance            ,5.6
Online 24x7,,,,4.4
Majnu,I 2016,UA,Comedy  Drama  Romance            ,5.1
Godha,2017,U,Comedy  Drama  Sport            ,6.7
Jholachhap,2022–,UA 13+,Drama            ,8.1
Krazzy 4,2008,UA,Comedy  Crime  Drama            ,7.4
Sehra,1963,,Drama  Romance            ,5.4
Auto Shankar,2019–,UA,Thriller            ,8.1
Yevadu,2014,A,Action  Thriller            ,9.2
Kudi Yedamaithe,2021–,UA 16+,Crime  Sci-Fi  Thriller            ,6.1
Haraamkhor,2015,UA,Drama  Romance            ,5.7
Fatwa,2022,,Romance            ,8.6
Lootcase,2020,12+,Comedy  Crime            ,6.3
Kavalai Vendam,2016,U,Comedy  Romance            ,6.6
Naduvula Konjam Pakkatha Kaanom,2012,U,Comedy  Drama            ,4.8
Intercourse 3,2020 Video,,Short  Romance            ,7.1
Jayam,2002,UA,Action  Drama  Romance            ,4.3
Newly Married,2020,,Short  Romance            ,5.6
Arundhati,2014,A,Drama            ,6.3
Jai Jai Jai Bajrang Bali,2011–2015,Not Rated,Action  Drama  Fantasy            ,4.7
Yudhra,2022,,Action            ,7.5
Baarish,2019–,UA,Romance            ,8.3
Sadma,1983,A,Drama  Romance            ,5.3
Kaashmora,2016,UA,Action  Comedy  Fantasy            ,7.0
Mumbaikar,2022,,Action  Drama  Thriller            ,8.5
Ishq Pashmina,2022,UA,Romance            ,7.5
Thanneer Mathan Dhinangal,2019,U,Comedy  Romance            ,6.1
Neelakasham Pachakadal Chuvanna Bhoomi,2013,U,Adventure  Drama  Romance            ,7.3
Shalimar,1978,PG-13,Action  Adventure  Crime            ,8.4
Fear Factor: Khatron Ke Khiladi,2008–,13,Action  Reality-TV            ,3.4
Tum Mere Ho,1990,U,Fantasy  Horror  Romance            ,3.7
Kyaa Super Kool Hain Hum,2012,A,Comedy            ,7.6
Lolita PG House Part 1,2021–,A,Drama  Romance            ,5.8
F3: Fun and Frustration,2022,U,Comedy  Family  Romance            ,4.9
Nayak: The Real Hero,2001,U,Action  Drama  Thriller            ,7.3
Bindaas,2014,UA,Action  Comedy  Musical            ,7.4
Innocent the Bhola,2020–,,Thriller            ,6.1
Tahkhana,1986,A,Action  Drama  Horror            ,3.1
It Happened In Calcutta,2020–,18,Drama  Romance            ,8.0
Aaradugula Bullet,2021,UA,Action  Drama            ,4.8
Dandupalya,2012,A,Crime  Drama            ,6.8
Rustum,2019,,Action            ,9.2
Piya Rangrezz,2015–2016,12+,Drama            ,8.3
Hawa,2003,A,Drama  Horror  Thriller            ,5.8
Seven,I 2019,UA,Thriller            ,7.8
M.... Matric Pass,2014,A,Drama  Romance            ,7.6
Kaka Pardhan,2021,,Action            ,9.1
Raju Ban Gaya Gentleman,1992,U,Comedy  Musical  Romance            ,8.7
Bribe,2018,18,Drama            ,7.1
The Adventures of Hatim,2013–2014,,Adventure  Family  Fantasy            ,7.7
Naan Kadavul,2009,UA,Action  Drama            ,7.7
Kichi Kichi,,,Comedy  Romance            ,7.6
KH 234,,,,7.7
Ajayante Randam Moshanam,2022,,Adventure  Comedy  Drama            ,6.7
Bham Bolenath,2015,,,7.0
Chotushkone,2014,UA,Thriller            ,5.3
Bluff Master,2018,UA,Crime  Thriller            ,8.9
Frozen 2 - Priyanka Chopra Jonas and Parineeti Chopra - Promo,2019 Video,,Short            ,7.1
Ek Rishtaa: The Bond of Love,2001,,Drama  Family            ,8.3
Badal,2000,A,Action  Crime  Drama            ,5.0
Alex Pandian,2013,U,Action            ,7.9
Fraud Ishq,2020 Video,,Short  Drama            ,4.7
Ik Sandhu Hunda Si,2020,UA,Action  Drama            ,6.6
Trideviyaan,2016–2017,,Action  Comedy            ,4.9
Shemale,2022,,Drama            ,6.1
Temper,2015,UA,Action  Crime  Drama            ,7.6
Madly,2016,,Drama  Romance            ,6.2
Mr Lele,,,Comedy            ,5.8
Heropanti,2014,UA,Action  Romance            ,5.3
Gentleman,2020,(Banned),Action  Drama  Mystery            ,7.6
Pandaga Chesko,2015,UA,Action  Drama  Family            ,8.9
Asal,2010,UA,Action            ,6.7
A Sublime Love Story: Barsaat,2005,U,Drama  Romance            ,8.6
Bol Radha Bol,1992,U,Action  Comedy  Crime            ,4.8
Langto: The Film,2015,,Thriller            ,7.9
Krishna Cottage,2004,A,Horror  Mystery  Romance            ,4.2
Kurukshetra,2000,A,Action  Crime  Drama            ,4.8
Chhota Bheem aur Krishna: Mayanagari,2011,,Animation  Action  Fantasy            ,5.6
Mardini,2022,UA,Action            ,6.5
Daanveer,1996,,Action  Crime  Drama            ,8.3
The Cloud-Capped Star,1960,U,Drama  Musical            ,7.0
Luca,2019,UA,Drama  Mystery  Romance            ,6.1
Sixteen,II 2013,UA,Drama  Romance  Thriller            ,8.3
Switzerland,2020,U,Drama            ,4.3
Heartless,2014,UA,Drama  Family  Romance            ,8.1
Mookuthi Amman,2020,PG,Comedy  Drama  Fantasy            ,6.1
Laung Laachi 2,2022,UA,Drama  Romance            ,3.3
Golmaal,1979,U,Comedy  Romance            ,6.1
High,2020–,18,Crime  Drama  Thriller            ,5.5
Aadai,2019,A,Drama  Thriller            ,8.5
Mughal-E-Azam,1960,PG,Drama  Romance  War            ,7.3
Agnihotra,2009–2019,,Drama  Mystery            ,5.8
Paka (River of Blood),2021,A,Drama            ,6.9
Guddan Tumse Na Ho Payega,2018–2021,U,Comedy  Romance            ,6.8
Ye Maaya Chesave,2010,UA,Romance            ,4.4
Apna Sapna Money Money,2006,U,Comedy  Musical  Romance            ,7.4
Fever,I 2016,,Crime  Mystery            ,7.3
No Land's Man,2021,,Drama            ,7.2
Daruvu,2012,UA,Action  Comedy  Fantasy            ,6.5
Punjab 1984,2014,,Drama  Family  History            ,8.1
Alif Laila,2020–,,Drama  Fantasy            ,5.3
Bhavai,2021,U,Drama  Romance            ,8.0
Billa 2,2012,A,Action  Crime  Thriller            ,7.0
Kadhalan,1994,U,Action  Drama  Romance            ,5.0
Expiry Date,2020–,A,Action  Crime  Thriller            ,6.2
Aksar 2,2017,A,Crime  Drama  Mystery            ,5.1
Yaar Gaddar,1994,A,Action  Drama            ,7.5
Sidhu Moose Wala feat. Sunny Malton: Levels,2022 Music Video,,Music            ,5.4
Aarzoo,1999,UA,Action  Drama  Romance            ,6.6
Thoovanathumbikal,1987,A,Drama  Romance            ,7.3
Aathva Rang Premacha,2022,UA,Drama            ,8.4
Konda,2022,UA,Action  Biography  Drama            ,5.7
Ekk Deewana Tha,2012,UA,Drama  Romance            ,7.4
NINGA,2022,U,Drama            ,5.2
Ankahi Kahaniya,2021,13,Drama  Romance            ,6.9
Khushi,2001,U,Drama  Romance            ,5.7
Roberrt,2021,UA,Action  Comedy  Musical            ,6.6
Teesri Kasam,1966,,Comedy  Drama  Romance            ,8.3
Jathi Ratnalu,2021,U,Comedy            ,4.7
Roy,2015,UA,Drama  Romance            ,8.6
Rakhta Charitra,2010,A,Action  Biography  Crime            ,4.6
Sreekaram,2021,U,Drama            ,6.3
Aapdi Thaapdi,2022,U,Drama            ,7.9
Rangmanch,2020–,,Drama            ,4.5
Osthi,2011,,Action            ,6.0
Pyaar Ishq Aur Mohabbat,2001,U,Drama  Musical  Romance            ,3.8
Chor Machaaye Shor,2002,UA,Action  Comedy  Crime            ,5.8
Doraemon - The Last Episode,2020,,Short  Sci-Fi            ,5.9
Dhamaka,I 2022,UA,Comedy            ,7.1
Jazbaa,2015,UA,Action  Crime  Drama            ,8.5
Kya Kehna,2000,UA,Drama  Romance            ,7.0
Bhabhi,1957,U,Drama            ,9.2
Dhondi Champya - Ek Prem Katha,2022,,Comedy  Drama            ,6.7
The Trip,2016–,Not Rated,Adventure  Comedy            ,4.1
36 Vayadhinile,2015,U,Drama  Family            ,8.0
Thriller,2020,,Short  Romance  Thriller            ,7.8
Engineering Girls,2018–,16+,Comedy  Drama            ,7.0
Munna,2007,,Action            ,6.9
Himmatwala,2013,U,Action  Comedy  Drama            ,5.5
Dushmani: A Violent Love Story,1995,,Action  Drama  Romance            ,4.5
Jigarthanda,2014,UA,Action  Comedy  Crime            ,4.0
Shahi Majra,2022–,A,Crime  Drama            ,7.3
Krack,2021,UA,Action  Crime  Thriller            ,4.9
I Love Us,2019–,Not Rated,Romance            ,4.6
Haddi,2023,,Crime  Drama            ,6.5
100% Love,2011,U,Comedy  Drama  Romance            ,6.8
Shriman Shrimati,1982,,Comedy  Drama  Family            ,7.8
Kaadhal Konden,2003,A,Drama  Romance  Thriller            ,8.4
Rishta Likhenge Hum Naya,2017–2018,15+,Drama  Mystery  Romance            ,8.2
Badnaam Gali,2019,UA,Comedy            ,5.0
Patthar Aur Payal,1974,A,Action  Drama            ,7.5
Mashaal,1984,U,Action  Drama  Family            ,7.2
Soggade Chinni Nayana,2016,UA,Comedy  Drama            ,7.8
Paap,2003,A,Action  Crime  Drama            ,5.1
Love Today,2004,,Drama  Romance            ,7.7
Untitled Soorarai Pottru remake,,,,7.9
Kasethan Kadavulada,2022,,Comedy  Drama            ,7.1
Rarandoi Veduka Chudham,2017,UA,Action  Romance            ,8.5
Ramayya Vastavayya,2013,A,Action  Drama            ,6.3
Jothe Jotheyali,2006,,Drama            ,8.2
Bloodstone,1988,,Action  Adventure  Comedy            ,5.8
Dharam Veer,1977,,Action  Adventure  Comedy            ,7.2
Hadh Kar Di Aapne,2000,,Comedy  Romance            ,6.3
Sajjan Singh Rangroot,2018,UA,Action  Biography  Drama            ,7.1
Vadham,2021–2022,Not Rated,Mystery            ,6.5
James Bond,2015,,Action  Comedy            ,7.4
Selection Day,2018–,13,Sport            ,7.2
Tenaliraman,2014,U,Comedy  History            ,7.3
Ottu,2022,UA,Action  Thriller            ,7.1
Shakti,1982,U,Action  Crime  Drama            ,5.2
Taanakkaran,2022,UA 16+,Drama  Sport            ,5.4
Hum Hain Rahi Pyar Ke,1993,U,Comedy  Drama  Romance            ,4.7
Swathi Muthyam,2022,UA,Comedy  Drama  Romance            ,2.7
English Babu Desi Mem,1996,13,Comedy  Drama  Musical            ,5.9
Junglee,2019,UA,Action  Adventure  Thriller            ,8.2
Sachein,2005,UA,Comedy  Drama  Romance            ,7.9
Ghanchakkar,2013,UA,Comedy  Crime  Thriller            ,7.0
Vakeel Babu,2021,U,Short            ,5.4
Rog,,A,Mystery  Romance  Thriller            ,6.7
Jhoom Barabar Jhoom,2007,UA,Comedy  Drama  Musical            ,8.4
Nenu Local,2017,UA,Action  Comedy  Romance            ,4.7
"Good Boy, Bad Boy",2007,UA,Comedy  Musical            ,7.4
Malikappuram,,,Drama            ,7.9
Geraftaar,1985,,Action  Drama            ,3.8
Andaru Bagundali Andulo Nenu Undali,2022,U,Comedy            ,9.9
The Great Indian Laughter Challenge,2005–2009,UA 13+,Comedy            ,7.7
Thurthu Nirgamana,2022,UA,Comedy  Fantasy            ,7.3
Welcome to New York,2018,UA,Comedy  Drama            ,4.1
Clue,2022,,Drama  Mystery  Thriller            ,6.2
Phool Aur Patthar,1966,U,Action  Drama  Romance            ,4.2
Nigahen: Nagina Part II,1989,,Drama  Family  Fantasy            ,7.2
Raja Huli,2013,UA,Comedy  Drama            ,5.4
Batman: Knightfall,2022,,Action  Crime  Thriller            ,8.1
Luv Kush,1988–1989,U,Adventure  Drama  Fantasy            ,8.1
Driver Jamuna,2023,,Crime  Thriller            ,9.1
June,I 2021,18,Drama            ,6.2
Sai Baba,2005–,,Biography  Fantasy  History            ,7.1
Dharam Sankat Mein,2015,UA,Comedy            ,6.2
Argentina Fans Kaattoorkadavu,2019,U,Drama  Sport            ,9.1
Thegidi,2014,U,Crime  Mystery  Thriller            ,3.2
Casper's Scare School,2009–,,Animation  Comedy  Family            ,4.2
Jangal Mein Mangal,1972,U,Adventure  Romance            ,6.2
Duniya,1984,U,Action  Drama            ,5.7
Bhaiaji Superhit,2018,UA,Action  Comedy  Drama            ,6.8
Mirzya,2016,,Action  Drama  Fantasy            ,8.2
Maamannan,2023,,Drama            ,3.1
Maaya: Slave of Her Desires,2017,Not Rated,Drama            ,8.7
Vaastav: The Reality,1999,A,Action  Crime  Drama            ,5.5
Roohaniyat,2022–,UA 16+,Drama  Romance            ,6.9
Sarkar,2018,UA,Action  Drama            ,6.0
Zid- Hotshots,2020 Video,,Short  Drama            ,5.2
Thimayya & Thimayya,2022,UA,Comedy  Drama  Family            ,9.0
Ek Ladki Ko Dekha Toh Aisa Laga,2019,UA,Comedy  Crime  Drama            ,6.6
Lal Salaam,2023,,,5.6
Chal Mera Putt,2019,U/A,Comedy  Drama            ,5.6
Eken Babu,2018–,Not Rated,Mystery            ,7.6
Yeh Saali Aashiqui,2019,A,Drama  Romance  Thriller            ,3.6
Ankur Arora Murder Case,2013,UA,Drama  Thriller            ,3.3
Pandava Vanavasam,1965,U,Drama  Fantasy            ,6.7
Bhuddah Hoga Tera Baap,2011,UA,Action  Comedy  Crime            ,6.6
Keshu Ee Veedinte Nadhan,2021,UA 7+,Drama            ,7.8
Dalaal,1993,A,Action  Drama            ,8.1
Madhil Mel Kaadhal,,,Romance            ,6.5
Chotti Bahu,2008–2012,UA,Romance            ,7.4
Behind Someone,2022,A,Crime  Thriller            ,8.7
Avtaar,1983,U,Drama            ,8.7
Ammammagarillu,2018,,Romance            ,6.4
Saaransh,1984,UA,Drama            ,6.1
Jagannatakam,2022,UA,Drama            ,8.2
Kurukshetra,2019,UA,History  War            ,5.8
Dulhan,2021,,Comedy            ,6.3
Aan: Men at Work,2004,UA,Action  Crime  Drama            ,5.8
Godhi Banna Sadharana Mykattu,2016,UA,Drama  Thriller            ,5.9
Dhokha,2007,,Action  Drama  Romance            ,5.6
Lens,IV 2016,A,Drama  Mystery  Thriller            ,7.1
Scotland,2019,,Crime            ,5.4
Children of a Desired Sex,1987 TV Movie,,Documentary            ,8.5
Haseena,2018,A,Comedy            ,6.7
Cargo,I 2019,,Drama  Fantasy  Sci-Fi            ,5.4
Dikkiloona,2021,U,Comedy  Romance  Sci-Fi            ,6.1
Lucky: No Time for Love,2005,U,Musical  Drama  Romance            ,6.5
Pisasu,2014,UA,Drama  Horror  Mystery            ,8.1
Manmadhudu,2002,U,Comedy  Romance            ,6.7
Bandh Darwaza,1990,A,Action  Drama  Horror            ,7.8
Demonte Colony,2015,UA,Horror  Thriller            ,6.6
Honey Trap,2021,A,Drama  Romance            ,7.5
Srimanthudu,2015,UA,Action  Drama            ,8.2
Most Eligible Bachelor,2021,UA,Drama  Romance            ,6.2
Coffee,I 2022,UA,Drama  Romance            ,6.4
Thani Oruvan,2015,U,Action  Crime  Thriller            ,7.6
Action Jackson,I 2014,UA,Action  Crime  Thriller            ,6.8
Raja Ki Ayegi Baraat,1997,UA,Drama  Romance            ,6.8
Adulting,2018–2022,UA 13+,Comedy            ,6.4
Azhar,2016,UA,Biography  Drama  Sport            ,5.5
Pyaar Impossible!,2010,U,Comedy  Romance            ,7.2
Crackdown,2020–,16,Action  Crime  Drama            ,9.6
Kaiyum Kalavum,2022,UA 16+,Crime            ,1.5
Tinku Ki Suhaagraat,2021–,,Comedy            ,5.9
Aap Mujhe Achche Lagne Lage,2002,,Action  Drama  Romance            ,7.7
Ashleel Udyog Mitra Mandal,2018,UA,Drama            ,9.0
Apne 2,2022,,Drama            ,7.7
Vattam,2022,UA 16+,Drama            ,6.8
Kabul Express,2006,UA,Adventure  Comedy  Drama            ,8.8
Clown,IV 2022,16,Drama            ,6.3
Ardaas,2016,U,Drama            ,4.1
Pelli Parugu,2022,,Romance            ,6.9
Karachi 81,2022,,Action  Drama  Thriller            ,5.5
Abatara Maternala,2022,UA,Comedy  Drama  Thriller            ,7.0
Hadinelentu,2022,,Drama            ,2.6
Aunty Sudha Aunty Radha,2019 Video,,Documentary  Family            ,8.4
Ratri Ke Yatri2,2022–,Not Rated,Drama            ,6.6
9 TO 5,2022–,Not Rated,Comedy            ,8.2
Kanaa,2018,U,Drama  Sport            ,6.1
Umrao Jaan,1981,,Drama  Musical  Romance            ,7.6
Chintu Ka Birthday,2020,A,Comedy  Drama  War            ,8.3
Bhinna,2019,UA,Thriller            ,6.5
C U Soon,2020,Not Rated,Drama  Mystery  Thriller            ,7.2
Qissa: The Tale of a Lonely Ghost,2013,,Drama  Fantasy  Horror            ,8.7
Badri,2001,U,Action  Sport            ,7.3
Top Gear,2022,,,8.6
Dillagi,1999,,Drama  Musical  Romance            ,9.3
Ajooni,2022–,UA 13+,Drama            ,7.1
Gentleman,2016,U,Mystery  Romance  Thriller            ,7.1
Sajan Ghar Jana Hai,2009–2010,,Drama            ,8.5
Sandakozhi 2,2018,UA,Action  Drama            ,7.5
Gultoo,2018,UA,Crime  Drama            ,7.3
Saakshyam,2018,UA,Action  Crime  Drama            ,5.3
American Desi,2001,,Comedy  Drama  Romance            ,4.6
Jubilee,2022–,,Drama            ,5.8
Saturday Night,II 2022,U,Comedy            ,6.8
Chengiz,2023,,Action            ,7.3
Chhota Bheem and the Curse of Damyaan,2012,U,Animation  Adventure  Fantasy            ,7.4
Irumbu Thirai,2018,U,Action  Crime  Thriller            ,4.3
Miral,2010,R,Drama  History            ,5.3
Shuddh Desi Romance,2013,UA,Comedy  Drama  Romance            ,7.7
Jism,2003,A,Drama  Romance  Thriller            ,4.4
Chandni Bar,2001,A,Crime  Drama            ,4.9
Pelli Gola,2017,,Comedy  Romance            ,4.3
Main Hoon Kunwari Dulhan,2001,,Drama  Thriller            ,7.4
Kapil Sharma: I'm Not Done Yet,2022 TV Special,UA 13+,Comedy            ,5.6
Lanke,2021,A,Drama            ,5.3
Manmadhudu 2,2019,UA,Comedy  Drama  Romance            ,7.6
Hazaaron Khwaishein Aisi,2003,A,Drama            ,7.7
Jung,2000,A,Action  Crime  Drama            ,6.1
Teri Meri Kahaani,2012,,Comedy  Drama  Romance            ,5.6
Pattas,2020,U,Action  Drama            ,6.5
Gambler,1971,A,Crime  Romance  Thriller            ,6.8
Kasoor- Feneo movies,2020,A,Drama            ,4.0
Happu Ki Ultan Paltan,2019–,U,Comedy            ,5.9
Aapla Manus,2018,UA,Drama  Thriller            ,3.5
Ishq Vishk,2003,13,Comedy  Romance            ,5.4
Shantit Kranti,2021–,16,Comedy  Drama            ,6.9
Udaan,2014–2019,13,Drama            ,4.5
Tunka Tunka,2021,U,Adventure  Drama            ,2.8
Aashiqui: True Love,2015,,Action  Romance            ,7.3
Dam999,2011,,Adventure  Drama  Sci-Fi            ,8.2
Muklawa,2019,U,Drama            ,8.4
Sandwich,2006,UA,Comedy  Thriller            ,4.8
Tehkikaat,1994–,,Crime  Mystery            ,2.8
Jannat House,2020,,Action            ,6.5
Tipppsy,2023,,Adventure  Thriller            ,5.7
Pathrosinte Padappukal,2022,U,Comedy  Romance            ,5.7
Haathi Mere Saathi,1971,U,Drama  Family  Musical            ,8.0
Sanjivani: A Medical Boon,2002–2005,,Drama            ,5.4
Tuesdays and Fridays,2021,UA,Comedy  Musical  Romance            ,6.1
Maryada Ramanna,2010,U,Action  Comedy  Drama            ,6.9
Ek Jagah Apni (A Place of Our Own),2022,,Drama            ,3.9
Shareek,2015,UA,Drama  Family            ,2.7
Satte Pe Satta,1982,U,Action  Comedy  Drama            ,3.1
Galwakdi,2022,U,Comedy  Drama  Romance            ,5.0
Aadukalam,2011,UA,Action  Drama  Sport            ,5.1
Allah-Rakha,1986,UA,Action  Drama            ,5.7
Agantuk,1991,U,Drama            ,5.0
Chicken Curry Law,2021–,,Drama            ,8.2
Shatamanam Bhavati,2017,U,Drama            ,7.1
Ramai,2019,,,5.4
Andolan,1995,,Action  Comedy  Drama            ,6.9
Henna,1991,U,Drama  Romance  Musical            ,6.4
Aisha,I 2010,U,Comedy  Drama  Romance            ,7.7
Geet Gaata Chal,1975,U,Comedy  Drama  Family            ,5.0
